question,context,lang,answerable,answer_start,answer,answer_inlang
악어는 땅과 물 둘 다에서 살 수 있을까?,"When on land, an American alligator moves either by sprawling or walking, the latter involving the reptile lifting its belly off the ground. The sprawling of American alligators and other crocodylians is not similar to that of salamanders and lizards, being similar to walking. Therefore, the two forms of land locomotion can be termed the ""low walk"" and the ""high walk"". Unlike most other land vertebrates, American alligators increase their speed through the distal rather than proximal ends of their limbs. In the water, American alligators swim like fish, moving their pelvic regions and tails from side to side. During respiration, air flow is unidirectional, looping through the lungs during inhalation and exhalation; the American alligator's abdominal muscles can alter the position of the lungs within the torso, thus shifting the center of buoyancy, which allows the American alligator to dive, rise, and roll within the water.",ko,False,-1,no,
곰팡이가 상처를 치료할 수 있을까?,"Many species produce metabolites that are major sources of pharmacologically active drugs. Particularly important are the antibiotics, including the penicillins, a structurally related group of β-lactam antibiotics that are synthesized from small peptides. Although naturally occurring penicillins such as penicillin G (produced by ""Penicillium chrysogenum"") have a relatively narrow spectrum of biological activity, a wide range of other penicillins can be produced by chemical modification of the natural penicillins. Modern penicillins are semisynthetic compounds, obtained initially from fermentation cultures, but then structurally altered for specific desirable properties. Other antibiotics produced by fungi include: ciclosporin, commonly used as an immunosuppressant during transplant surgery; and fusidic acid, used to help control infection from methicillin-resistant ""Staphylococcus aureus"" bacteria. Widespread use of antibiotics for the treatment of bacterial diseases, such as tuberculosis, syphilis, leprosy, and others began in the early 20th century and continues to date. In nature, antibiotics of fungal or bacterial origin appear to play a dual role: at high concentrations they act as chemical defense against competition with other microorganisms in species-rich environments, such as the rhizosphere, and at low concentrations as quorum-sensing molecules for intra- or interspecies signaling. Other drugs produced by fungi include griseofulvin isolated from ""Penicillium griseofulvum"", used to treat fungal infections, and statins (HMG-CoA reductase inhibitors), used to inhibit cholesterol synthesis. Examples of statins found in fungi include mevastatin from ""Penicillium citrinum"" and lovastatin from ""Aspergillus terreus"" and the oyster mushroom. Fungi produce compounds that inhibit viruses and cancer cells. Specific metabolites, such as polysaccharide-K, ergotamine, and β-lactam antibiotics, are routinely used in clinical medicine. The shiitake mushroom is a source of lentinan, a clinical drug approved for use in cancer treatments in several countries, including Japan. In Europe and Japan, polysaccharide-K (brand name Krestin), a chemical derived from ""Trametes versicolor"", is an approved adjuvant for cancer therapy.",ko,False,-1,no,
옥스퍼드 대학의 창립주는 누구인가요?,"The University of Oxford has no known foundation date. Teaching at Oxford existed in some form as early as 1096, but it is unclear when a university came into being. It grew quickly in 1167 when English students returned from the University of Paris. The historian Gerald of Wales lectured to such scholars in 1188 and the first known foreign scholar, Emo of Friesland, arrived in 1190. The head of the university had the title of chancellor from at least 1201, and the masters were recognised as a ""universitas"" or corporation in 1231. The university was granted a royal charter in 1248 during the reign of King Henry III.",ko,False,-1,no,
빅뱅이론은 우주론의 범주에 포함되는가?,"The Big Bang theory is the prevailing cosmological model for the observable universe from the earliest known periods through its subsequent large-scale evolution. The model describes how the universe expanded from a very high-density and high-temperature state, and offers a comprehensive explanation for a broad range of phenomena, including the abundance of light elements, the cosmic microwave background (CMB), large scale structure and Hubble's law (the farther away galaxies are, the faster they are moving away from Earth). If the observed conditions are extrapolated backwards in time using the known laws of physics, the prediction is that just before a period of very high density there was a singularity which is typically associated with the Big Bang. Physicists are undecided whether this means the universe began from a singularity, or that current knowledge is insufficient to describe the universe at that time. Detailed measurements of the expansion rate of the universe place the Big Bang at around 13.8 billion years ago, which is thus considered the age of the universe. After its initial expansion, the universe cooled sufficiently to allow the formation of subatomic particles, and later simple atoms. Giant clouds of these primordial elements (mostly hydrogen, with some helium and lithium) later coalesced through gravity, eventually forming early stars and galaxies, the descendants of which are visible today. Astronomers also observe the gravitational effects of dark matter surrounding galaxies. Though most of the mass in the universe seems to be in the form of dark matter, Big Bang theory and various observations seem to indicate that it is not made out of conventional baryonic matter (protons, neutrons, and electrons) but it is unclear exactly what it ""is"" made out of.",ko,False,-1,no,
알루미늄은 반응성이 요소인가?,"""Aluminium"" (symbol Al) or ""aluminum"" (American English) is a silvery white member of the boron group of chemical elements and a post-transition metal. It is not soluble in water under normal circumstances. Aluminium is the third most abundant element (after oxygen and silicon), and the most abundant metal, in the Earth's crust. It makes up about 8% by weight of the Earth's solid surface. Aluminium metal is too reactive chemically to occur natively. Instead, it is found combined in over 270 different minerals. The chief ore of aluminium is bauxite.",ko,False,-1,no,
세바스토폴의 제 1차 공세는 성공했나요?,"The Siege of Sevastopol also known as the Defence of Sevastopol (, transliteration: ""Oborona Sevastopolya"") or the Battle of Sevastopol (German: Schlacht um Sewastopol) was a military battle that took place on the Eastern Front of the Second World War. The campaign was fought by the Axis powers of Germany, Romania, and Italy against the Soviet Union for control of Sevastopol, a port in the Crimea on the Black Sea. On 22 June 1941 the Axis invaded the Soviet Union during Operation Barbarossa. Axis land forces reached the Crimea in the autumn of 1941 and overran most of the area. The only objective not in Axis hands was Sevastopol. Several attempts were made to secure the city in October and November 1941. A major attack was planned for late November, but heavy rains delayed the Axis attack until 17 December 1941. Under the command of Erich von Manstein, Axis forces were unable to capture Sevastopol during this first operation. Soviet forces launched an amphibious landing on the Crimean peninsula at Kerch in December 1941 to relieve the siege and force the Axis to divert forces to defend their gains. The operation saved Sevastopol for the time being, but the bridgehead in the eastern Crimea was eliminated in May 1942.",ko,False,-1,no,
공룡은 실제로 존재했는가?,"Dinosaurs are a diverse group of reptiles of the clade Dinosauria. They first appeared during the Triassic period, between 243 and 233.23 million years ago, although the exact origin and timing of the evolution of dinosaurs is the subject of active research. They became the dominant terrestrial vertebrates after the Triassic–Jurassic extinction event 201 million years ago; their dominance continued through the Jurassic and Cretaceous periods. Reverse genetic engineering and the fossil record both demonstrate that birds are modern feathered dinosaurs, having evolved from earlier theropods during the late Jurassic Period. As such, birds were the only dinosaur lineage to survive the Cretaceous–Paleogene extinction event 66 million years ago. Dinosaurs can therefore be divided into ""avian dinosaurs"", or birds; and ""non-avian dinosaurs"", which are all dinosaurs other than birds. This article deals primarily with non-avian dinosaurs.",ko,False,-1,no,
소아마비 바이러스가 인간을 통해 전염될 수 있을까?,"Enteroviruses affect millions of people worldwide each year and are often found in the respiratory secretions (e.g., saliva, sputum, or nasal mucus) and stool of an infected person. Historically, poliomyelitis was the most significant disease caused by an enterovirus, namely poliovirus. There are 64 non-polio enteroviruses that can cause disease in humans: 23 Coxsackie A viruses, 6 Coxsackie B viruses, 28 echoviruses, and 5 other enteroviruses. ",ko,False,-1,no,
크라우드소싱은 롱테일 현상을 활용하는 방법 중 하나인가요?,"The long tail concept has found some ground for application, research, and experimentation. It is a term used in online business, mass media, micro-finance (Grameen Bank, for example), user-driven innovation (Eric von Hippel), knowledge management, and social network mechanisms (e.g. crowdsourcing, crowdcasting, peer-to-peer), economic models, marketing (viral marketing), and IT Security threat hunting within a SOC (Information security operations center).",ko,False,-1,no,
플로지스톤설과 화학혁명은 상관관계가 있는가?,"Lavoisier also contributed to chemistry a method of understanding combustion and respiration and proof of the composition of water by decomposition into its constituent parts. He explained the theory of combustion, and challenged the phlogiston theory with his views on caloric. The ""Traité"" incorporates notions of a ""new chemistry"" and describes the experiments and reasoning that led to his conclusions. Like Newton's ""Principia"", which was the high point of the Scientific Revolution, Lavoisier's ""Traité"" can be seen as the culmination of the Chemical Revolution.",ko,False,-1,no,
2D의 직교 좌표계를 좌표평면이라고 하나요?,"A Euclidean plane with a chosen Cartesian coordinate system is called a ""Cartesian plane"". In a Cartesian plane one can define canonical representatives of certain geometric figures, such as the unit circle (with radius equal to the length unit, and center at the origin), the unit square (whose diagonal has endpoints at and ), the unit hyperbola, and so on.",ko,False,-1,no,
건주는 현재 진저우 시 베이전 서부일대에 존재하나요?,"In 1603, Nurhaci gained recognition as the Sure Kundulen Khan (, ""wise and respected khan"") from his Khalkha Mongol allies; then, in 1616, he publicly enthroned himself and issued a proclamation naming himself Genggiyen Khan (, ""bright khan"") of the Later Jin dynasty (, 後金). Nurhaci then launched his attack on the Ming dynasty and moved the capital to Mukden after his conquest of Liaodong. In 1635, his son and successor Huangtaiji changed the name of the Jurchen ethnic group () to the Manchu. A year later, Huangtaiji proclaimed himself the emperor of the Qing dynasty (). Factors for the change of name of these people from Jurchen to Manchu include the fact that the term ""Jurchen"" had negative connotations since the Jurchens had been in a servile position to the Ming dynasty for several hundred years, and it also referred to people of the ""dependent class"".",ko,False,-1,no,
테니스의 룰은 무엇인가?,"Tennis is a racket sport that can be played individually against a single opponent (singles) or between two teams of two players each (doubles). Each player uses a tennis racket that is strung with cord to strike a hollow rubber ball covered with felt over or around a net and into the opponent's court. The object of the game is to maneuver the ball in such a way that the opponent is not able to play a valid return. The player who is unable to return the ball will not gain a point, while the opposite player will.",ko,False,-1,no,
이산화탄소는 무엇으로 만들어졌는가?,"Carbon dioxide (chemical formula ) is a colorless gas with a density about 60% higher than that of dry air. Carbon dioxide consists of a carbon atom covalently double bonded to two oxygen atoms. It occurs naturally in Earth's atmosphere as a trace gas. The current concentration is about 0.04% (410 ppm) by volume, having risen from pre-industrial levels of 280 ppm. Natural sources include volcanoes, hot springs and geysers, and it is freed from carbonate rocks by dissolution in water and acids. Because carbon dioxide is soluble in water, it occurs naturally in groundwater, rivers and lakes, ice caps, glaciers and seawater. It is present in deposits of petroleum and natural gas. Carbon dioxide is odorless at normally encountered concentrations. However, at high concentrations, it has a sharp and acidic odor.",ko,False,-1,no,
유전자 변형을 통해 태어난 생물이 있는가?,"A genetically modified organism (GMO) is any organism whose genetic material has been altered using genetic engineering techniques. The exact definition of a genetically modified organism and what constitutes genetic engineering varies, with the most common being an organism altered in a way that ""does not occur naturally by mating and/or natural recombination"". A wide variety of organisms have been genetically modified (GM), from animals to plants and microorganisms. Genes have been transferred within the same species, across species (creating transgenic organisms) and even across kingdoms. New genes can be introduced, or endogenous genes can be enhanced, altered or knocked out.",ko,False,-1,no,
그리스 로마의 모든 신들의 아버지는 누구인가?,"Zeus (; , ""Zeús"" ) is the sky and thunder god in ancient Greek religion, who rules as king of the gods of Mount Olympus. His name is cognate with the first element of his Roman equivalent Jupiter. His mythologies and powers are similar, though not identical, to those of Indo-European deities such as Indra, Jupiter, Perkūnas, Perun, and Thor.",ko,False,-1,no,
"Stg44의 S가 ""돌격""을 의미하는 Sturm인가요?","The StG 44 (abbreviation of Sturmgewehr 44, ""assault rifle 44"") is a German selective-fire rifle developed during World War II. It is also known under the designations MP 43 and MP 44 (""Maschinenpistole 43"" and ""44"").",ko,False,-1,no,
